view,alpha,false_novelty,novel_detection,macro_genus,n_novel_genera
core,0.01,0.006816632583503749,0.007126198497019953,0.021866773974550235,183
core,0.05,0.03612815269256987,0.06037833635656906,0.15026528300078232,183
core,0.1,0.081799591002045,0.1758227520082923,0.304721651718261,183
core,0.2,0.17791411042944785,0.43677118424462297,0.5316352394899111,183
its1,0.01,0.005416384563303994,0.009218384835107764,0.03870709417820234,184
its1,0.05,0.05145565335138795,0.0702414957153986,0.1787106201232597,184
its1,0.1,0.0981719702098849,0.148792521423007,0.2877790860676832,184
its1,0.2,0.18280297901150983,0.33173201765775123,0.4461350660148994,184
its2,0.01,0.00683526999316473,0.022031025941858948,0.03369896929907583,183
its2,0.05,0.047163362952836636,0.11171946291226698,0.1434080941179097,183
its2,0.1,0.08817498291182502,0.22539434232824926,0.25072740449409714,183
its2,0.2,0.17361585782638414,0.44648676834832485,0.46430116321231174,183
