model,query_view,reference_view,novelty_auroc,dev_known_nn_genus_accuracy,dev_novel_nn_family_accuracy,dev_novel_nn_order_accuracy,dev_novel_nn_class_accuracy,n_reference,n_dev_known,n_dev_novel,known_max_cosine_mean,novel_max_cosine_mean
M0_b96,core,core,0.681457587957664,0.4910891089108911,0.3250952765908304,0.5713130846518074,0.8287331100588983,46151,1515,8659,0.904787003993988,0.8686714172363281
M0_b96,core,its1,0.49399083804904337,0.17095709570957096,0.13327174038572584,0.3104284559417947,0.624090541632983,46342,1515,8659,0.7320632934570312,0.7335296869277954
M0_b96,core,its2,0.45649243409154405,0.007920792079207921,0.007275666936135812,0.06247834622935674,0.2573045386303268,46076,1515,8659,0.6242663264274597,0.6438277959823608
M0_b96,its1,core,0.5219842270898382,0.12180746561886051,0.14869845657682562,0.28403593642017966,0.5912232204561161,46151,1527,8682,0.8058499097824097,0.8022912740707397
M0_b96,its1,its1,0.6759325008632905,0.45579567779960706,0.2817323197419949,0.5079474775397373,0.7509790370882286,46342,1527,8682,0.911684513092041,0.876976728439331
M0_b96,its1,its2,0.4671012385975123,0.003929273084479371,0.002533978346003225,0.03881594102741304,0.20248790601243952,46076,1527,8682,0.7259653210639954,0.7373048663139343
M0_b96,its2,core,0.4516324833131311,0.007920792079207921,0.02476278639203888,0.08447118722517935,0.4036102753992131,46151,1515,8642,0.8133765459060669,0.8193612694740295
M0_b96,its2,its1,0.5295481885610455,0.0026402640264026403,0.006017125665355242,0.07081694052302707,0.317171950937283,46342,1515,8642,0.8470203280448914,0.8437744379043579
M0_b96,its2,its2,0.6835321856647595,0.4739273927392739,0.24299930571626938,0.47975005785697755,0.7653320990511455,46076,1515,8642,0.9426379203796387,0.921169638633728
M1,core,core,0.7481433118482191,0.592079207920792,0.33964661046310196,0.5677329945721215,0.8566809100358009,46151,1515,8659,0.828612744808197,0.7506781816482544
M1,core,its1,0.565412548877015,0.31683168316831684,0.21572929899526505,0.4610232128421296,0.8021711514031643,46342,1515,8659,0.7255429029464722,0.7092217206954956
M1,core,its2,0.5395574607697518,0.19537953795379537,0.15960272548793164,0.41979443353735996,0.7321861646841437,46076,1515,8659,0.7096347212791443,0.700263500213623
M1,its1,core,0.6068964882593242,0.2999345121152587,0.17772402672195348,0.40278737618060356,0.7497120479152269,46151,1527,8682,0.7412475347518921,0.7159959077835083
M1,its1,its1,0.731761940903407,0.5455140798952194,0.2917530522920986,0.5095600092144668,0.808914996544575,46342,1527,8682,0.8500561118125916,0.7787951231002808
M1,its1,its2,0.4950080385209363,0.024885396201702686,0.035360516010135914,0.24798433540658835,0.5972126238193964,46076,1527,8682,0.6922677755355835,0.6929795145988464
M1,its2,core,0.5500725980952643,0.1702970297029703,0.134922471650081,0.3763017819949086,0.7541078454061559,46151,1515,8642,0.7380121350288391,0.7269037365913391
M1,its2,its1,0.47183461229714735,0.01914191419141914,0.04640129599629715,0.2757463550104143,0.6758852117565378,46342,1515,8642,0.7045802474021912,0.7107099294662476
M1,its2,its2,0.7096658196252396,0.5168316831683168,0.2999305716269382,0.539574172645221,0.8339504744272159,46076,1515,8642,0.8643863797187805,0.8083274960517883
