model,query_view,reference_view,novelty_auroc,dev_known_nn_genus_accuracy,dev_novel_nn_family_accuracy,dev_novel_nn_order_accuracy,dev_novel_nn_class_accuracy,n_reference,n_dev_known,n_dev_novel,known_max_cosine_mean,novel_max_cosine_mean
M0_b96,core,core,0.6858381576695607,0.49438943894389437,0.3409169650075066,0.5937175193440352,0.8558725025984525,46151,1515,8659,0.8540249466896057,0.8024489283561707
M0_b96,core,its1,0.4911294721110868,0.1254125412541254,0.1196443007275667,0.3080032336297494,0.6041113292528005,46342,1515,8659,0.6187124252319336,0.6224125027656555
M0_b96,core,its2,0.4689314652680189,0.011881188118811881,0.012588058667282596,0.08176463794895485,0.3216306732879085,46076,1515,8659,0.49486401677131653,0.5083884000778198
M0_b96,its1,core,0.5315798013096672,0.09430255402750491,0.09225984796129924,0.20363971435153191,0.4025570145127851,46151,1527,8682,0.7542492747306824,0.7484204769134521
M0_b96,its1,its1,0.6709561155742741,0.449901768172888,0.28265376641326884,0.5137065192351993,0.7598479612992398,46342,1527,8682,0.9116623401641846,0.8751459717750549
M0_b96,its1,its2,0.4849476677729156,0.0026195153896529143,0.006795669200645013,0.049988481916609075,0.22713660446901635,46076,1527,8682,0.7180545330047607,0.7235069870948792
M0_b96,its2,core,0.5161532098592873,0.011221122112211221,0.029854200416570238,0.09314973385790326,0.35373756074982643,46151,1515,8642,0.7734109163284302,0.7708728909492493
M0_b96,its2,its1,0.5806579350367344,0.0033003300330033004,0.007868548947003009,0.0864383244619301,0.3482990048599861,46342,1515,8642,0.8366414904594421,0.8174788355827332
M0_b96,its2,its2,0.6883179315385831,0.43234323432343236,0.22101365424670216,0.4754686415181671,0.7661420967368665,46076,1515,8642,0.9403148889541626,0.9133108854293823
M1,core,core,0.7482599039439687,0.6033003300330033,0.37856565423259037,0.6083843399930708,0.8756207414251068,46151,1515,8659,0.8167978525161743,0.733925461769104
M1,core,its1,0.5982827154409632,0.36171617161716174,0.24841205681949416,0.4982099549601571,0.8279247026215498,46342,1515,8659,0.7214582562446594,0.6964607238769531
M1,core,its2,0.5949257092241156,0.3207920792079208,0.23212842129576164,0.49913384917426956,0.7924702621549833,46076,1515,8659,0.7230575084686279,0.6998031735420227
M1,its1,core,0.6235341598293603,0.3483955468238376,0.22805805114029026,0.47224141902787375,0.7786224372264455,46151,1527,8682,0.7330777049064636,0.70326828956604
M1,its1,its1,0.7434662597094728,0.5625409299279633,0.324925132457959,0.5567841511172541,0.8241188666205943,46342,1527,8682,0.8392673134803772,0.7594656944274902
M1,its1,its2,0.4910819334751106,0.034053700065487885,0.053789449435613916,0.295323658143285,0.6432849573830914,46076,1527,8682,0.6573839783668518,0.6591949462890625
M1,its2,core,0.5978034970819461,0.30429042904290426,0.2008794260587827,0.4515158528118491,0.817171950937283,46151,1515,8642,0.733281672000885,0.7108192443847656
M1,its2,its1,0.4701394219496007,0.039603960396039604,0.07567692663735247,0.3241147882434622,0.7234436473038649,46342,1515,8642,0.6577874422073364,0.6646134257316589
M1,its2,its2,0.7169605342853193,0.533993399339934,0.3301319139088174,0.5695440870168942,0.8553575561212682,46076,1515,8642,0.8403618335723877,0.7748845815658569
