model,view,auroc,known_genus,novel_family,novel_order,novel_class,known_cos,novel_cos
M0,core,0.681457587957664,0.4910891089108911,0.3250952765908304,0.5713130846518074,0.8287331100588983,0.904787003993988,0.8686714172363281
M0,its1,0.6759325008632905,0.45579567779960706,0.2817323197419949,0.5079474775397373,0.7509790370882286,0.911684513092041,0.876976728439331
M0,its2,0.6835321856647595,0.4739273927392739,0.24299930571626938,0.47975005785697755,0.7653320990511455,0.9426379203796387,0.921169638633728
M1,core,0.7481433118482191,0.592079207920792,0.33964661046310196,0.5677329945721215,0.8566809100358009,0.828612744808197,0.7506781816482544
M1,its1,0.731761940903407,0.5455140798952194,0.2917530522920986,0.5095600092144668,0.808914996544575,0.8500561118125916,0.7787951231002808
M1,its2,0.7096658196252396,0.5168316831683168,0.2999305716269382,0.539574172645221,0.8339504744272159,0.8643863797187805,0.8083274960517883
M2,core,0.7518690753473084,0.633003300330033,0.3580090079685876,0.6079223928860146,0.8928282711629518,0.7932783961296082,0.7016540169715881
M2,its1,0.7395217121529131,0.5690897184020957,0.3271135683022345,0.5692236811794518,0.8416263533747984,0.8178734183311462,0.7307253479957581
M2,its2,0.73965181174447,0.570957095709571,0.31462624392501737,0.5686183753760704,0.8381161768109234,0.8408333659172058,0.7610974311828613
M2b,core,0.7475886704041694,0.6013201320132013,0.33629749393694425,0.5866728259614274,0.8692689687030835,0.8162921667098999,0.7332993149757385
M2b,its1,0.7364766612855267,0.5631958087753766,0.28760654227136606,0.5218843584427552,0.816171389080857,0.8409579992294312,0.7648170590400696
M2b,its2,0.7231837682726847,0.5524752475247525,0.2968062948391576,0.5379541772737793,0.8241147882434622,0.8644165992736816,0.8019866347312927
M3,core,0.7434938447072562,0.6475247524752475,0.5241944797320707,0.7868114100935443,0.9385610347615198,0.8788394331932068,0.8127285838127136
M3,its1,0.7327114096308677,0.5762933857236411,0.38677724026721955,0.6337249481686248,0.8693849343469247,0.8740571737289429,0.8131619691848755
M3,its2,0.7232175659130365,0.5663366336633663,0.3875260356398982,0.6648923860217543,0.8710946540152742,0.8960704803466797,0.8428668975830078
M4,core,0.7768660928917699,0.6983498349834983,0.5760480424991339,0.8050583208222658,0.9469915694652963,0.8431040048599243,0.7474517822265625
M4,its1,0.7397650099785674,0.6175507531106745,0.45104814558857403,0.6708131766873993,0.8610919143054596,0.8370851278305054,0.7556894421577454
M4,its2,0.7541712780396299,0.6165016501650165,0.40337884748900715,0.6692895163156677,0.8898403147419579,0.8692224621772766,0.7932600975036621
