model,view,auroc,known_genus,novel_family,novel_order,novel_class,known_cos,novel_cos
M0,core,0.6858381576695607,0.49438943894389437,0.3409169650075066,0.5937175193440352,0.8558725025984525,0.8540249466896057,0.8024489283561707
M0,its1,0.6709561155742741,0.449901768172888,0.28265376641326884,0.5137065192351993,0.7598479612992398,0.9116623401641846,0.8751459717750549
M0,its2,0.6883179315385831,0.43234323432343236,0.22101365424670216,0.4754686415181671,0.7661420967368665,0.9403148889541626,0.9133108854293823
M1,core,0.7482599039439687,0.6033003300330033,0.37856565423259037,0.6083843399930708,0.8756207414251068,0.8167978525161743,0.733925461769104
M1,its1,0.7434662597094728,0.5625409299279633,0.324925132457959,0.5567841511172541,0.8241188666205943,0.8392673134803772,0.7594656944274902
M1,its2,0.7169605342853193,0.533993399339934,0.3301319139088174,0.5695440870168942,0.8553575561212682,0.8403618335723877,0.7748845815658569
M2,core,0.7531784972006844,0.633003300330033,0.3714054740732186,0.6311352350155908,0.9073796050352234,0.7701207995414734,0.6741449236869812
M2,its1,0.7375555670208384,0.5887360838244925,0.33771020502188437,0.5791292328956462,0.8476157567380788,0.7964799404144287,0.7043431997299194
M2,its2,0.7404034559901257,0.5663366336633663,0.31960194399444575,0.5772969220087942,0.8392733163619532,0.804125964641571,0.7161794900894165
M2b,core,0.7459555806602718,0.6039603960396039,0.3532740501212611,0.6004157523963506,0.8795472918350848,0.7993733882904053,0.7116126418113708
M2b,its1,0.7483131325611465,0.5664702030124427,0.29774245565537893,0.5382400368578668,0.8238885049527759,0.8209376335144043,0.7316479682922363
M2b,its2,0.705907369260416,0.5471947194719472,0.31080768340661885,0.5564684100902569,0.8385790326313354,0.8270263075828552,0.76228266954422
M3,core,0.7336753723876834,0.6468646864686468,0.5334334218731955,0.8047118604919736,0.9432959926088463,0.8675615191459656,0.8006007671356201
M3,its1,0.74705195145901,0.5907007203667322,0.4065883436996084,0.6512324349228289,0.8813637410734854,0.8590803146362305,0.7852880358695984
M3,its2,0.7092113272887113,0.5821782178217821,0.40997454292987734,0.7015737097894006,0.8823189076602638,0.8693519830703735,0.8115776181221008
M4,core,0.7782360786026633,0.6943894389438944,0.5752396350617854,0.80147823074258,0.9461831620279478,0.8346151113510132,0.7350541353225708
M4,its1,0.7545856228069818,0.6299934512115258,0.4870997466021654,0.7098594793826307,0.8836673577516702,0.8244436383247375,0.7305898666381836
M4,its2,0.7505462997121282,0.6191419141914192,0.412751677852349,0.6797037722749364,0.8951631566766952,0.8394404053688049,0.7541233897209167
