view,reference_view,alpha,false_novelty,novel_detection
core,core,0.01,0.0054533060668029,0.0025913449080072
core,core,0.05,0.0320381731424676,0.1462814200570096
core,core,0.1,0.0722563053851397,0.3086291785436642
core,core,0.2,0.16359918200409,0.451800984711065
its1,its1,0.01,0.0,0.0
its1,its1,0.05,0.0399458361543669,0.0840041547649961
its1,its1,0.1,0.0737982396750169,0.2481173721111399
its1,its1,0.2,0.1692620176032498,0.4535185666060763
its2,its2,0.01,0.0047846889952153,0.0106896102203102
its2,its2,0.05,0.0334928229665071,0.1495241819840959
its2,its2,0.1,0.0758714969241285,0.3103897796897406
its2,its2,0.2,0.1722488038277512,0.4492243514535263
