view,alpha,false_novelty,novel_detection,macro_genus
core,0.01,0.002044989775051125,0.007126198497019953,0.022263614605548206
core,0.05,0.03680981595092025,0.05960093288416688,0.12213959275732632
core,0.1,0.08384458077709611,0.18398548846851515,0.2943962569064367
core,0.2,0.17586912065439672,0.4533557916558694,0.5419534711025062
its1,0.01,0.004062288422477996,0.007530511555440145,0.02306654765026899
its1,0.05,0.04874746106973595,0.055180472604518305,0.1322055619815538
its1,0.1,0.08733920108327692,0.12282524019735133,0.24686213383805344
its1,0.2,0.18077183480027081,0.30576473643209556,0.44975940390710023
its2,0.01,0.007518796992481203,0.01199322122278712,0.019432984221794868
its2,0.05,0.0430622009569378,0.09633685308304002,0.13381861699728434
its2,0.1,0.0861244019138756,0.2137922044062052,0.25654633664364823
its2,0.2,0.1749829118250171,0.4114196323816973,0.44463496390917556
